point,x,y,id,Tgl_Panen,Tgl_Tanam,Periode_Tn,Tahun_Tn,f1_genang,f1_lembap,f1_tgl,f2_tumbuh,f2_genang,f2_lembap,f2_tgl,f3_tumbuh,f3_genang,f3_lembap,f3_tgl,f4_tumbuh,f4_genang,f4_lembap,f4_tgl,f5_tumbuh,f5_genang,f5_lembap,f5_tgl,f6_genang,f6_tgl,f6_veg,NO_SWAH
12,415796.8238107496,9133606.790226942,80,0.0,2026-01-07,1,2026,Tinggi,Merata,2025-12-28,Buruk,Tinggi,Merata,1016-01-22,Baik,Tinggi,Merata,2026-02-15,Baik,Tinggi,Merata,2026-02-25,Baik,Sedang,Merata,2026-03-05,,,,64-68
13,415888.92017210444,9133509.126210177,18,0.0,2025-12-12,29,2025,Tinggi,Merata,2025-06-12,Sedang,Rendah,Merata,2025-12-24,Sedang,Sedang,Merata,2026-01-21,Baik,Tinggi,Merata,2026-01-24,Baik,Tinggi,Merata,2026-02-15,Rendah,2026-03-25,Sisa Tunggul,6-7
14,415871.5772795819,9133471.688821081,7,0.0,2025-12-25,30,2025,Sedang,Merata,2025-12-15,Baik,Rendah,Merata,2026-01-05,Baik,Sedang,Merata,2026-01-24,Baik,Tinggi,Merata,2026-02-15,Baik,Tinggi,Merata,2026-02-27,Rendah,2026-03-25,Sisa Tunggul,8-18
15,415808.23859854246,9133382.448484626,1,0.0,2025-12-24,30,2025,Tinggi,Merata,2025-12-16,Baik,Tinggi,Merata,2025-12-24,Baik,Sedang,Merata,2026-01-25,Baik,Tinggi,Merata,2026-02-15,Baik,Tinggi,Merata,2026-02-27,,2026-03-25,Sisa Tunggul,22-24
16,415752.9751366154,9133370.833984345,111,0.0,2025-12-18,30,2025,Tinggi,Merata,2025-12-05,Baik,Sedang,Merata,2025-12-24,Baik,Sedang,Merata,2026-01-21,Baik,Sedang,Merata,2026-02-08,Baik,Tinggi,Merata,2026-02-15,,,,27-30
17,415773.0947675342,9133406.736866722,111,0.0,2025-12-17,30,2025,Rendah,Merata,2025-12-06,Baik,Sedang,Merata,2025-12-24,Baik,Rendah,Tdk Merata,2026-01-25,Baik,Rendah,Tdk Merata,2026-02-08,Baik,Tinggi,Merata,2026-02-15,,,,32-34
18,415786.0968833244,9133426.770096306,31,0.0,2025-12-23,30,2025,Tinggi,Merata,2025-12-06,Baik,Sedang,Merata,2025-12-24,Baik,Sedang,Merata,2026-01-25,Baik,Sedang,Merata,2026-02-15,Baik,Tinggi,Merata,2026-02-27,,2026-03-25,Bersih,36-38
19,415808.3047490244,9133460.639262948,35,0.0,2025-12-23,30,2025,Tinggi,Merata,2025-12-05,Baik,Sedang,Merata,2025-12-24,Baik,Tinggi,Merata,2026-01-25,Baik,Tinggi,Merata,2026-02-15,Baik,TInggi,Merata,2025-02-27,,2026-03-25,Sisa Tanggul,40-45
20,415808.70109873055,9133502.391487842,42,0.0,2025-12-25,30,2025,Sedang,Merata,2025-12-15,Baik,Rendah,Merata,2026-01-05,Baik,Sedang,Merata,2026-01-24,Baik,Sedang,Tdk Merata,2026-02-15,Baik,Tinggi,Merata,2026-02-27,,2026-03-30,Sisa Tanggul,"47-51,92-97"
21,415805.76282324025,9133536.276680754,48,0.0,2025-12-23,30,2025,Tinggi,Merata,2025-12-05,Baik,Sedang,Merata,2025-12-24,Baik,Sedang,Merata,2026-01-25,Baik,TInggi,Merata,2026-02-15,Baik,TInggi,Merata,2026-02-27,,2026-03-30,Sisa Tanggul,"54-55,81"
22,415784.5109959243,9133550.124215126,51,0.0,2026-01-08,1,2026,Tinggi,Merata,2025-12-29,Baik,Sedang,Merata,2026-01-21,Baik,Sedang,Merata,2026-02-15,Baik,TInggi,Merata,2026-02-25,Baik,Sedang,Merata,2026-03-05,,,,"56-57,79-80"
23,415793.22390361695,9133570.249001598,53,0.0,2025-12-30,31,2025,Tinggi,Merata,2025-12-18,Baik,Sedang,Merata,2026-01-05,Baik,Sedang,Merata,2026-01-21,Baik,TInggi,Merata,2026-02-15,Baik,Sedang,Merata,2026-02-27,,,,"58-62, 73-77"
24,415740.1923666874,9133612.588492846,84,0.0,2026-01-05,1,2026,Tinggi,Merata,2025-12-28,Baik,Rendah,Merata,2026-01-05,Baik,Sedang,Merata,2026-02-15,Baik,Sedang,Merata,2026-02-25,Baik,Sedang,Merata,2026-03-05,,,,69-70
25,415782.3334241352,9133588.837394685,58,0.0,2026-01-07,1,2026,Tinggi,Merata,2025-12-28,Baik,Rendah,Merata,2026-01-05,Baik,Sedang,Merata,2026-02-15,Baik,Sedang,Merata,2026-02-25,Baik,Sedang,Merata,2026-03-05,,,,"63,71,72"
26,415755.825133002,9133533.722648706,68,0.0,2025-12-17,30,2025,Sedang,Merata,2025-12-05,Baik,Tinggi,Merata,2025-12-24,Baik,Sedang,Merata,2026-01-21,Baik,Sedang,Merata,2026-02-08,Baik,TInggi,Merata,2026-02-15,,,,82-83
27,415762.2424355617,9133465.476034557,111,0.0,2025-12-27,31,2025,Tinggi,Merata,2025-12-18,Baik,Tinggi,Merata,2026-01-05,Baik,Sedang,Merata,2026-01-24,Baik,Sedang,Merata,2026-02-15,Baik,Sedang,Merata,2026-02-27,,,,100
28,415761.8232892852,9133523.249034608,70,0.0,2025-12-29,29,2025,Tinggi,Merata,2025-12-18,Baik,Sedang,Merata,2026-01-05,Baik,Sedang,Merata,2026-01-25,Baik,Sedang,Merata,2026-02-15,Baik,Sedang,Merata,2026-02-27,,2026-03-25,Sisa Tanggul,84-87
29,415739.65137325163,9133539.501241423,86,0.0,2025-12-27,31,2025,Tinggi,Merata,2025-12-18,Baik,Sedang,Merata,2026-01-05,Baik,Sedang,Merata,2026-01-21,Baik,Sedang,Merata,2026-02-15,Baik,Tinggi,Merata,2026-02-27,,,,78
30,415789.7569821614,9133519.81311671,321,0.0,2025-12-17,30,2025,Tinggi,Merata,,Baik,Tinggi,Merata,2025-12-24,Baik,Sedang,Merata,2026-01-21,Baik,Sedang,Merata,2026-02-08,Baik,Tinggi,Merata,2026-02-15,,,,"53,88,89"
